Обозначение;Наименование;Описание;КОЛ.
К-8-00.000;Контейнер ТБО-8-К;;1
К-8-01.000;Дно;;1
К-8-01.001;Лист дна - задний;Лист 4х1500х1715  ;1
К-8-01.002;Лист дна - передний;Лист 4х1492х1715  ;1
К-8-01.003;Труба дна;Труба 60х40х3 L=1710 ;4
К-8-01.004;Заглушка;Лист 3х38х55  ;8
К-8-02.000;Боковая стенка - правая;;1
К-8-02.001;Лист боковой стенки - задний;Лист 3х1345х2000  ;1
К-8-02.002;Лист бокоаой стенки - передний;Лист 3х1345х1920  ;1
К-8-02.003;Труба боковой стенки - верхний;Труба 60х40х3 L=3945 ;1
К-8-02.004;Труба боковой стенки - нижний;Труба 60х40х3 L=3628 ;1
К-8-02.005;Труба боковой стенки - вертикальная верхняя;Труба 60х40х3 L=380 ;2
К-8-02.006;Труба боковой стенки - вертикальная нижняя;Труба 60х40х3 L=845 ;2
К-8-02.000-01;Боковая стенка - левая;;1
К-8-02.001;Лист боковой стенки - задний;Лист 3х1345х2000  ;1
К-8-02.002;Лист бокоаой стенки - передний;Лист 3х1345х1920  ;1
К-8-02.003;Труба боковой стенки - верхний;Труба 60х40х3 L=3945 ;1
К-8-02.004;Труба боковой стенки - нижний;Труба 60х40х3 L=3628 ;1
К-8-02.005;Труба боковой стенки - вертикальная верхняя;Труба 60х40х3 L=380 ;2
К-8-02.006;Труба боковой стенки - вертикальная нижняя;Труба 60х40х3 L=845 ;2
К-8-03.000;Стенка задняя;;1
К-8-03.001;Лист задней стенки - нижний;Лист 3х1500х1703  ;1
К-8-03.002;Лист задней стенки - верхний;Лист 3х150х870  ;1
К-8-00.005;Труба торцевых стенок;Труба 60х40х3 L=1783 ;3
К-8-00.006;Заглушка;Лист 3х35х55  ;6
К-8-04.000;Стенка передняя;;1
К-8-04.001;Лист передней стенки - нижний;Лист 3х1080х1703  ;1
К-8-04.002;Лист передней стенки - верхний;Лист 3х555х1703  ;1
К-8-00.008;Полоса переднего захвата;Лист 4х50х1783  ;1
К-8-00.009;Труба передней стенки - верхняя;Труба 60х40х3 L=495 ;2
К-8-00.010;Труба передней стенки - нижняя;Труба 60х40х3 L=1055 ;2
К-8-05.000;Крыша;;1
К-8-05.001;Лист крыши;Лист 3х565х1821  ;1
К-8-05.002;Лист крыши;Лист 3х565х1821  ;1
К-8-05.003;Конек;Лист 3х393х580  ;1
К-8-00.001;Проушина;Полоса 10х100х190  ;2
К-8-06.000;Палец;;4
К-8-06.001;Труба пальца;Труба 48х3,8 L=85 ;1
К-8-06.002;Заглушка пальца;Лист 4х100х100  ;1
К-8-00.002;Стопор пальца;Лист 6х70х90  ;4
К-8-00.003;Ребро переднего захвата;Лист 6х50х50  ;2
К-8-07.000;Захват;;1
К-8-07.001;Труба переднего захвата;Труба 48х3,8 L=2000 ;1
К-8-07.002;Заглушка;Лист 3х38х38  ;2
